V1,count,lat,lon
lääs-viru,2,-8.4165648,-78.7518716
maas,2,NA,NA
malmö,2,55.604981,13.003822
minneapolis,2,44.977753,-93.2650108
moskva n liit,2,NA,NA
ms,2,NA,NA
norden,2,53.5987852,7.196716
norrmalmstorg,2,59.3332649,18.0724544
norrtälje linn,2,59.7595841,18.7013584
nsv liit,2,NA,NA
nxiidu,2,NA,NA
otepää,2,58.0602521,26.4969264
pakistan,2,30.375321,69.345116
palamuse,2,58.6843881,26.5833742
peipsi,2,58.6521982,27.456452
peterburi,2,59.9310584,30.3609097
porkuni,2,59.1888156,26.2068972
pärassaar,2,,
pärsia laht,2,26.7505337,51.6834275
põhjala riik,2,NA,NA
põhjalas,2,NA,NA
põlva,2,58.067018,27.0738741
rootsi ja balti riik,2,NA,NA
rootsi riik,2,60.128161,18.643501
ruhnu saar,2,57.805148,23.2460512
rõuge,2,NA,NA
s,2,NA,NA
saar,2,49.3964234,7.0229607
saksa,2,51.165691,10.451526
samarkand,2,39.6507963,66.9653502
sillamäe,2,59.3995308,27.748088
singapur,2,1.352083,103.819836
sonda,2,14.7346826,74.815784
stokholmi,2,59.3293235,18.0685808
sääljuur,2,NA,NA
tartu linn ja maakond,2,58.377983,26.7290383
tartumaa,2,58.4057128,26.8015761
tokyo,2,35.6764225,139.650027
torgu vald,2,57.9777998,22.1050324
tšehhi,2,49.817492,15.472962
usbekistan,2,41.377491,64.585262
uus-meremaa,2,-40.900557,174.885971
vabariik,2,NA,NA
valgamaa,2,57.9103441,26.1601819
valgerand,2,58.3899654,24.3686261
valgevene,2,53.709807,27.953389
valima-eesti,2,58.595272,25.013607
vancouver,2,49.2827291,-123.1207375
vene vabariik,2,61.52401,105.318756
viin,2,48.2081664,16.3718643
viljandi maakond,2,58.363476,25.5859691
visby,2,57.6348,18.29484
võnnu,2,58.2847579,27.0492617
võru maakond,2,57.7377372,27.1398938
ängelholm,2,56.245748,12.863881
örebro,2,59.2752626,15.2134105
šveits,2,46.818188,8.227512
- liit,1,NA,NA
-duvnäsis,1,NA,NA
a oras,1,NA,NA
a rüütel ja e savisaar,1,NA,NA
aadria meri,1,41.8550904,17.2902839
aarna,1,NA,NA
aasia riik,1,34.047863,100.6196553
aaspere vald,1,59.425825,26.1272291
agtn --mi xuhion,1,NA,NA
aksi,1,,
alas,1,NA,NA
alirea ard,1,NA,NA
amudarja -,1,40.5858240464719,63.70544418179
angoolas,1,NA,NA
antsla,1,57.8291089,26.5283437
aongkopgis,1,NA,NA
araal vabariik,1,NA,NA
argentiina,1,-38.416097,-63.616672
arizona osariik,1,34.0489281,-111.0937311
armeenia,1,40.069099,45.038189
austea,1,30.2212538,-97.7568222
avinurme,1,58.9877246,26.8672142
b,1,NA,NA
bagdad,1,33.315241,44.3660671
baki riik,1,,
baldwin-wallace aruja,1,-23.3951365,-46.3227109
balkan,1,41.8101472,21.0937311
balrikiiiri,1,NA,NA
balti riik ja n liit,1,,
balti riik saksav,1,NA,NA
balti vabariik,1,NA,NA
baltimaa,1,31.5555377,31.0943749
balttkami,1,NA,NA
bamkumi,1,NA,NA
bangladesh,1,23.684994,90.356331
baüen-powelli,1,NA,NA
belgrad,1,44.8125449,20.46123
belk stokholmi,1,NO MATCH,NO MATCH
bering väin,1,,
bfitikumi,1,NA,NA
bikini,1,NA,NA
boden,1,NA,NA
bonn balti,1,50.73743,7.0982068
boston,1,42.3600825,-71.0588801
bradfort,1,53.7937996,-1.7563583
bržnevi,1,NA,NA
budapest,1,47.497912,19.040235
buhhaar,1,,
bulgaaria i,1,42.733883,25.48583
c a,1,36.778261,-119.4179324
cambridges,1,52.1950788,0.1312729
canada,1,56.130366,-106.346771
chicago,1,41.8781136,-87.6297982
cl baltiska,1,NO MATCH,NO MATCH
co,1,NA,NA
connecticut,1,41.6032207,-73.087749
cru vald,1,NO MATCH,NO MATCH
cw jjsä,1,NA,NA
cüevolei,1,NA,NA
danderyd,1,59.4059401,18.0256382
daoiovv -u d-i,1,NA,NA
de,1,NA,NA
doonau,1,46.3219324820363,19.13597431308
doonau jõgi,1,46.3219324820363,19.13597431308
dušanbe,1,38.5597722,68.7870384
e maja peeter saar,1,NA,NA
e poolsaar,1,NA,NA
e v saksa,1,51.165691,10.451526
eaaiis,1,NA,NA
edgm saar pv,1,NO MATCH,NO MATCH
edmonton,1,53.5460983,-113.4937266
edwardp jõgi,1,NA,NA
eelk göteborg,1,57.70887,11.97456
eergei,1,NA,NA
eesas,1,NA,NA
eeshi-läti,1,NA,NA
eeslis,1,,
eeslist,1,NA,NA
eest i venemaa,1,NO MATCH,NO MATCH
eesti aus,1,58.595272,25.013607
eesti f,1,58.595272,25.013607
eesti ja balti,1,58.595272,25.013607
eesti ja balti riik,1,58.595272,25.013607
eesti linn,1,58.595272,25.013607
eesti mereioomuiik,1,58.595272,25.013607
eesti ne,1,58.595272,25.013607
eesti riik,1,58.595272,25.013607
eesti sina-,1,58.595272,25.013607
eesti u,1,58.595272,25.013607
eesti v-t,1,58.595272,25.013607
eesti vaba,1,58.595272,25.013607
eesti vene,1,NA,NA
eesti-eest-iasec,1,NA,NA
eesti-inglise,1,58.595272,25.013607
eesti-läti,1,58.595272,25.013607
eesti-rootsi,1,58.595272,25.013607
eesti-vene,1,NA,NA
eestiia,1,NA,NA
eesä vabariik,1,,
eesüasi,1,NA,NA
eesüs,1,NA,NA
eetiimr balti riik,1,NA,NA
el,1,NA,NA
ella,1,NA,NA
emsdetten saksamaa,1,52.1681893,7.531058
eomaa,1,NA,NA
eregu küla,1,20.791352,-156.3248772
esfinvest ab,1,NA,NA
esimest korea,1,35.907757,127.766922
etioopia,1,9.145,40.489673
etjursholm,1,59.3970725,18.0903005
euroopa linn,1,54.5259614,15.2551187
europe-i,1,,
europel,1,,
f liit,1,,
fefec,1,NA,NA
finntunet,1,NA,NA
florida,1,27.6648274,-81.5157535
freade,1,NA,NA
fäga-,1,NA,NA
gardie,1,43.074819,2.298318
ggjas,1,NA,NA
gor-,1,,
grnurlas,1,NA,NA
gävles,1,60.6748796,17.1412726
göteborg e komitees,1,57.70887,11.97456
h aasmäe,1,59.2379145,24.5391024
h kuisk,1,NA,NA
h li,1,NA,NA
h saare,1,NA,NA
haapsalu laht es,1,58.9888805,23.5845975
haapsalu linna,1,NO MATCH,NO MATCH
haiti,1,18.971187,-72.285215
hallstavik,1,60.05054750000001,18.5974883
halmstadis,1,56.6743748,12.8577884
halstahammari,1,59.6132041,16.2294755
harju mk,1,NA,NA
harju-madis,1,59.2821907,24.131277
harriet,1,NA,NA
heino jõgi,1,NA,NA
helmes,1,,
helsingborg,1,56.0464674,12.6945121
helsingfors,1,60.1698557,24.938379
helsingi-tallinn,1,59.4369608,24.7535746
helsingör,1,56.030787,12.592127
hempsteadis,1,30.0873794,-96.0891032
hi b,1,NA,NA
hii-ieri-stalin,1,NA,NA
hiina k,1,NA,NA
hiiva,1,,
hisnaanios,1,NA,NA
hitler,1,,
hitler orjuseriik,1,NA,NA
holland,1,52.132633,5.291266
hollywood,1,34.0907315,-118.3266146
hudson jõgi,1,NA,NA
höganasi,1,56.2006388,12.5553288
höganäs,1,56.2006388,12.5553288
i,1,NA,NA
i lõtina-eesh,1,NA,NA
icierlifcu,1,NA,NA
ida,1,NA,NA
ida-eu-roobas,1,NA,NA
ida-lääs,1,NA,NA
ih,1,NA,NA
iinüditati,1,NA,NA
iisaku,1,59.105327,27.3098157
iisso,1,NA,NA
illiidncp balti,1,NA,NA
india,1,20.593684,78.96288
indiana,1,40.5512165,-85.6023643
indiana osariik,1,40.5512165,-85.6023643
indore,1,22.7195687,75.8577258
ingismaa,1,52.3555177,-1.1743197
inn,1,NA,NA
instituut,1,NA,NA
iraak,1,33.223191,43.679291
irama,1,,
iranaprueie,1,NA,NA
iraulu,1,NA,NA
irkutsk,1,52.2854834,104.2890222
isar,1,NA,NA
iseseisev riik,1,,
italietsu,1,NA,NA
iv liit,1,NA,NA
ivuidas,1,NA,NA
j horthy,1,NA,NA
j kaljuvee,1,NA,NA
j kiimaa l,1,NA,NA
j mark ja a saareste,1,NA,NA
j siivet,1,NA,NA
jaarklaupae-,1,NA,NA
je f,1,NA,NA
jenissei jõgi,1,60.64278877716526,89.48266869838572
jersey osariik,1,NA,NA
jfclxobsonl,1,NA,NA
jkta,1,NA,NA
jmimikris,1,NA,NA
jnorrköoitigi,1,NA,NA
jurjev,1,NA,NA
jurmala,1,56.9684476,23.7737546
järva maakond,1,58.8866713,25.5000625
jõgeta maakond,1,58.7970409,26.5976631
jõgeva maakond,1,58.7970409,26.5976631
jõhv ja kreutzwald tn,1,NO MATCH,NO MATCH
k pihel,1,NA,NA
kaasepalitsa,1,NA,NA
kabi la,1,NO MATCH,NO MATCH
kadrina,1,59.339128,26.1414751
kadriorg,1,59.4366577,24.7871064
kahekümnekroonine vabariik,1,NA,NA
kalana,1,58.92573840000001,22.082951
kalifomia,1,NA,NA
kalifomias,1,NA,NA
kalifornia,1,NA,NA
kaliningrad,1,54.7104264,20.4522144
kampuchea,1,12.565679,104.990963
kamtšatka,1,56.1327377,159.5314398
kanaari saar,1,28.2915637,-16.6291304
kanada ia,1,56.130366,-106.346771
kariibi meri,1,14.5401107,-74.9676365
kasahhi,1,NA,NA
kassari,1,58.8002483,22.8349306
kasteni,1,NA,NA
katõnis,1,NA,NA
katöni,1,25.1177044,81.817654
kaukaasia,1,43.5851814,45
kavastu küla,1,58.3874575,27.0860636
keedu,1,NA,NA
kehra,1,59.3339294,25.3323964
keila,1,59.3108007,24.4157526
kell,1,NA,NA
kesa vabariik,1,NA,NA
kesk-eesti,1,58.595272,25.013607
kesk-euroopa,1,50.3784723,14.9705982
keskaasia,1,45.4506875,68.8319005
kiel laht ja balti meri,1,NO MATCH,NO MATCH
kiigipaeval,1,NA,NA
kiltsi,1,59.08820439999999,26.1788797
kiniiueeles,1,NA,NA
kirde-eesti viima vene,1,NO MATCH,NO MATCH
kirgiis ja tadžik,1,NA,NA
kirgiisia,1,41.20438,74.766098
kirikumäel,1,NA,NA
kirjastuste liit,1,59.4314607,24.7436779
kl liit,1,NA,NA
kliit,1,,
klooga,1,59.31181,24.2294907
km,1,,
kodumaa,1,,
kohtla-järv ja narva,1,59.3796931,28.179075
kohtla-järve ja sillamäe,1,59.3973326,27.279987
kohtla-järve linn,1,59.3973326,27.279987
kohtla-järvelt,1,59.4061559,27.309398
kolumbia,1,4.570868,-74.297333
kolumbia ita,1,4.570868,-74.297333
korp-,1,NO MATCH,NO MATCH
kose,1,NA,NA
kose-uuemõis,1,NA,NA
krasnojarsk,1,56.0152834,92.8932476
kristiansand,1,58.1599119,8.0182064
kristus,1,NA,NA
kuia,1,NA,NA
kungla,1,58.3582555,22.9359729
kurgja,1,58.6632324,25.2496477
kuriilid,1,47.1543981354712,150.97053778279
kutveidi,1,NA,NA
kuuuisi,1,NA,NA
kuveit,1,29.31166,47.481766
käina,1,NA,NA
kärdla ja kõrgessaar,1,58.9987098,22.7411776
kärner,1,NA,NA
kärstna,1,58.1513527,25.7993659
könlgsiarg,1,NA,NA
küpros saar,1,35.126413,33.429859
l liit,1,,
laadoga,1,60.8664587,31.5103505
ladina-ameerika,1,-4.4420385,-61.3268535
ladina-eesti-vene,1,NA,NA
laekvere,1,59.0730478,26.5667371
lael- usa,1,37.09024,-95.712891
lahti,1,60.98267490000001,25.6612096
laimjala,1,58.4264814,22.9980524
laiune,1,27.1500384,-13.1990758
lakewood,1,39.7047095,-105.0813734
lakewoodi,1,40.082129,-74.2097014
lao,1,19.85627,102.495496
latirootsi,1,NA,NA
lbpttlob,1,NO MATCH,NO MATCH
leedu ja n liiöu,1,55.169438,23.881275
leedu s,1,55.169438,23.881275
leetsi,1,58.41739990000001,26.5159
leila,1,NA,NA
leisi,1,58.56547089999999,22.6836777
lettland,1,56.879635,24.603189
li liit,1,NA,NA
liileste jt,1,NA,NA
liivimaa,1,NA,NA
lilleste jt,1,NA,NA
linlikult,1,NA,NA
lippmaa,1,NA,NA
liua,1,NA,NA
lles,1,NA,NA
lltsimta,1,NA,NA
lnu,1,NA,NA
lok,1,NA,NA
loksa,1,59.5812449,25.7213551
loksa l,1,NA,NA
loots imftüstae,1,NA,NA
lt-s,1,NO MATCH,NO MATCH
ludu,1,NA,NA
luhamaa,1,,
luunja,1,58.3598443,26.88178
lähis-ldas,1,NA,NA
läli ja leedu,1,55.169438,23.881275
läti ja lee,1,NO MATCH,NO MATCH
lätsigulda,1,NA,NA
läänemaa,1,58.9722742,23.8740834
läänemeri saar,1,NA,NA
lääs mdsl toronto,1,43.653226,-79.3831843
lääs riik,1,NA,NA
lääs-eesti,1,58.595272,25.013607
lääs-ettroobas,1,NA,NA
lääs-euroopa,1,54.5259614,15.2551187
lääs-india,1,20.593684,78.96288
lääs-rootsi,1,60.128161,18.643501
lõuna-aafrika,1,-30.559482,22.937506
lõuna-eesti,1,58.595272,25.013607
lõuna-korea,1,35.907757,127.766922
lõuna-rootsi,1,60.128161,18.643501
lõunakaare,1,57.7600999,27.0653
lübeck,1,53.8654673,10.6865593
lürism,1,NA,NA
lüübek,1,53.8654673,10.6865593
maardu,1,59.4568032,24.9890145
macys,1,NA,NA
mainima,1,28.68421,85.96032
maneeshi,1,NA,NA
mariehamni,1,60.0970945,19.9348339
mariliina,1,NA,NA
maroko,1,31.791702,-7.09262
marx,1,NA,NA
mavirumaa,1,NA,NA
mb,1,NA,NA
mcarthur,1,NA,NA
mecklenburg,1,53.6126505,12.4295953
medininkai linn,1,54.5375022,25.6485143
meiusetu,1,NA,NA
meri,1,NA,NA
mettanfjärden,1,NA,NA
miami,1,25.7616798,-80.1917902
michigan osariik,1,44.3148443,-85.6023643
midwest,1,42.5246357,-92.4604145
mimka-ljuagby,1,56.2573385,12.9704446
mina-s,1,NA,NA
minsk,1,53.9006011,27.558972
missejev,1,NA,NA
moldaavia jt,1,47.411631,28.369885
monsis,1,NA,NA
moodustama,1,,
moskva balti,1,55.755826,37.6173
moskva ja ida-euroopa,1,55.755826,37.6173
moskvap gorbatssida,1,NA,NA
mt,1,,
muhu saar,1,58.5793961,23.2668624
munas,1,NA,NA
mustjala vald,1,58.49827769999999,22.4110447
mülikool,1,NA,NA
münchen,1,48.1351253,11.5819806
n iüdu,1,NA,NA
n liidu,1,NA,NA
n liit okupatsioon balti riik,1,NA,NA
n liit riik,1,,
narva jõgi,1,59.2231297072267,27.9617013661098
narva linn,1,59.3796931,28.179075
narva vabariik,1,59.3796931,28.179075
narva-tallinn,1,59.4369608,24.7535746
natsi-sak-samaa,1,51.165691,10.451526
new,1,NA,NA
new york linn,1,40.7127753,-74.0059728
new york osariik,1,40.7127753,-74.0059728
niguliste,1,59.436378,24.7434593
niilus,1,23.5597923657343,32.1577073790508
nludu,1,,
noarootsi,1,59.0988,23.5988563
normandies,1,48.8798704,0.1712529
norr- laager,1,NA,NA
norrköping ja eskilstuna,1,59.3712486,16.5098045
norrmalmstorgetü,1,NA,NA
norrtäye,1,NA,NA
noukogu,1,NO MATCH,NO MATCH
novgorod,1,58.5255698,31.2741928
novgorod linn,1,58.5255698,31.2741928
nsvl,1,NA,NA
nsvl-usa,1,37.09024,-95.712891
nõmm,1,NA,NA
nõukogu liidul,1,NA,NA
nõukogu vene,1,NA,NA
nõukogu venemaa,1,61.52401,105.318756
nõukogu- kreekamaa,1,NA,NA
nõuogude liit,1,NA,NA
oaasilinn,1,NA,NA
ob jõgi,1,NA,NA
oh karula,1,NA,NA
ojamaa,1,57.4684121,18.4867447
oktoohm kis-i,1,NA,NA
oskarshamn,1,57.2656993,16.4473984
ottawa,1,45.4215296,-75.6971931
p -ameerika,1,,
pacvaltitt,1,NO MATCH,NO MATCH
paide,1,58.887858,25.5411706
paldiski,1,59.3528731,24.0551582
paliu,1,NA,NA
paljakäsi,1,NA,NA
paradis,1,,
paralcpas,1,NA,NA
parkgatan,1,57.7018982,11.9724009
pass,1,NA,NA
petersburg,1,37.2279279,-77.40192669999999
petrograd,1,59.9310584,30.3609097
peäkonsulaat,1,NA,NA
pihkva,1,57.8166994,28.3344734
pihkva oblast,1,56.7708599,29.094009
pihtal,1,NA,NA
piin linus,1,NA,NA
piteå,1,65.316698,21.4800364
plymouth,1,41.9584457,-70.6672621
polüneesia,1,-16.8395019,-148.3716902
prantsiiamaale,1,46.227638,2.213749
pulmallste,1,NA,NA
punkte,1,NA,NA
pärnu linn,1,58.3916898,24.4952895
pärnu linn ja maakond,1,58.3916898,24.4952895
põ-hja-ameerika,1,37.09024,-95.712891
põaja-ameerika,1,37.09024,-95.712891
põhi-eesti kesk-eesti ja lõuna-eesti,1,58.595272,25.013607
põhi-korea,1,35.907757,127.766922
põhi-korea f,1,NA,NA
põhjameri inglismaa,1,56.511018,3.515625
põhjarootsi,1,NA,NA
põltsamaa,1,58.6552121,25.9768765
põlva maakond,1,58.1160622,27.2066395
qfima,1,NA,NA
r,1,NA,NA
r ombudo,1,NA,NA
r paris,1,48.856614,2.3522219
rahumäe,1,59.3889858,24.7111402
rap a maakond,1,NA,NA
rapla maakond,1,59.0000543,24.8048628
regiona,1,NA,NA
reinimaa,1,,
ridala,1,58.851177,23.6203156
ristna,1,58.923,22.1005189
rohuküla,1,58.9108964,23.4523952
roo-s,1,35.9667907,-86.6755685
root-,1,NA,NA
rootsi kuningriik,1,60.128161,18.643501
rootsi lipp,1,60.12816100000001,18.643501
rootsi mažuseettevõtja liit,1,60.128161,18.643501
rootsi moskva,1,60.128161,18.643501
rootsi-soome,1,61.92410999999999,25.748151
rosenbad,1,59.3286772,18.0649078
råstadis,1,NA,NA
rönneberga,1,59.3646208,18.2427227
s maja,1,NA,NA
saare maakond,1,58.4849721,22.6136407
sakala,1,NA,NA
saksamaa po,1,51.165691,10.451526
samboris,1,-8.6057171,118.7722699
sandvikeni,1,60.621607,16.775918
saurerkand,1,NA,NA
savonlinn,1,61.8683766,28.8861803
savonllnna,1,61.8683766,28.8861803
savorlinn,1,NA,NA
schweiz,1,46.818188,8.227512
schwerin,1,53.6355022,11.4012499
seadma,1,NA,NA
semper,1,NA,NA
sfaveitsi saksa,1,NO MATCH,NO MATCH
sfcaa,1,NA,NA
shveits,1,46.818188,8.227512
sida,1,,
sigari ar-ae ä,1,NA,NA
sijarnkolm,1,NA,NA
sillamäe o -idremmmn,1,59.3995308,27.748088
sim,1,NA,NA
sirgala,1,59.32384700000001,27.805277
skandinaavia riik,1,62.2786475,12.3401708
skansen,1,59.3263227,18.1058583
skaotuk,1,NA,NA
smolensk,1,54.7903112,32.0503663
snellmani,1,46.8894043,-95.41308780000001
sobtšakl ia leningrad,1,NO MATCH,NO MATCH
soome laht,1,59.9124514,26.2623373
soome-eesti,1,58.595272,25.013607
soomeeesti,1,,
soonta vald,1,,
spångast,1,NA,NA
staiiis,1,NA,NA
stalia,1,NA,NA
stalin-hitler,1,,
stalin-hruštäov,1,NA,NA
steinbockide ja balti ungernsternbergiõe,1,NA,NA
stockholm eesti,1,59.3293235,18.0685808
stockholm n liit,1,59.3293235,18.0685808
stoekholm-tallinn,1,59.4369608,24.7535746
stokhoimis,1,59.32932349999999,18.0685808
stokholfflis,1,59.3293235,18.0685808
stokholmi ja eskilstuna,1,59.3712486,16.5098045
stokholmis küla,1,20.791352,-156.3248772
sudaan,1,12.862807,30.217636
sudburys,1,52.0382762,0.7325661000000001
suja,1,NA,NA
suur-serbia,1,44.016521,21.005859
suurantillid saar,1,NA,NA
suurupis,1,59.46458149999999,24.3869461
svul o,1,NA,NA
sõrdarja,1,43.1745377813655,66.2813857284341
sõrve,1,59.4216388,24.4794025
taara,1,NA,NA
tadaeesti vabariik,1,NA,NA
taebla,1,58.9539225,23.7416135
tahkuranna,1,58.23591979999999,24.4987045
tailmna,1,NA,NA
talhrra,1,NA,NA
tali-,1,,
tall,1,NA,NA
tallink,1,,
tallinn balti,1,59.4399864,24.7371066
tallinn laht,1,59.4909751,24.6548511
tallinn linn,1,59.4369608,24.7535746
tallinn plaan,1,59.4369608,24.7535746
tallinn prantsuse,1,59.43696079999999,24.7535746
tallinn venemaa,1,59.4384655,24.7481795
tallinn vi-,1,59.4369608,24.7535746
tammikus,1,59.3355054,27.3664473
tampere,1,61.4977524,23.7609535
tanapaeval,1,NA,NA
tarrasas,1,41.5631482,2.0054917
tartu ja tartumaa,1,58.37798299999999,26.7290383
tartu maarja,1,58.377983,26.7290383
tartu petseri,1,58.377983,26.7290383
tarvastu,1,58.2281786,25.9105882
tasmaania austra as,1,-42.0409059,146.8087322
taškent,1,41.2994958,69.2400734
tbilisi,1,41.6938026,44.80151679999999
tblisi,1,41.6938026,44.8015168
teatri,1,NA,NA
teie9eed,1,NA,NA
tenerifel,1,28.2915637,-16.6291304
texas,1,31.9685988,-99.9018131
thorshavn,1,62.0107248,-6.7740852
tisvaheu,1,NA,NA
tomingal,1,NA,NA
tori,1,NA,NA
trondheim,1,63.4305149,10.3950528
tsehhoslovakkias,1,NA,NA
tshehhoslovakkiä,1,,
turkmeenia ja karakalpak,1,43.8041334,59.4457988
tähtvere k,1,NA,NA
türgi,1,47.4887974,8.2547897
türi,1,NA,NA
türisalu,1,59.4034793,24.3237767
tšehhi ja slovaki,1,49.817492,15.472962
tšehhist,1,49.817492,15.472962
tšehhoslovaldrias,1,NA,NA
tšiili,1,-35.675147,-71.542969
u,1,NA,NA
u c,1,NA,NA
udria küla,1,59.3877284,27.9149282
